0,-0.74
1,-0.31
2,0.264
3,0.884
4,1.62
5,2.48
6,3.3
7,4.2
8,5.2
9,6.3
10,7.57
11,8.72
12,10.03
12.5,10.74
13,11.42
13.5,12.2
14,12.98
14.5,13.77
15,14.52
15.2,14.73
15.3,14.9
15.4,15.1
16,14.97
20,15.07
25,14.94
30,14.85
35,14.83
40,14.8
45,14.8
50,14.8
55,14.79
60,14.76
65,14.74
