0,-0.856
1,-0.848
2,-0.848
3,-0.848
4,-0.848
5,-0.848
6,-0.84
7,-0.832
8,-0.832
9,-0.832
10,-0.832
11,-0.824
12,-0.824
13,-0.816
14,-0.816
15,-0.808
16,-0.8
17,-0.8
18,-0.792
19,-0.792
20,-0.784
21,-0.776
22,-0.776
23,-0.768
24,-0.768
25,-0.76
26,-0.752
27,-0.744
28,-0.736
29,-0.728
30,-0.72
31,-0.704
32,-0.696
33,-0.68
34,-0.672
35,-0.656
36,-0.648
37,-0.64
38,-0.616
39,-0.6
40,-0.584
41,-0.568
42,-0.536
43,-0.52
44,-0.488
45,-0.464
46,-0.432
47,-0.392
48,-0.352
49,-0.296
50,-0.224
51,-0.128
52,0.096
53,0.916
54,2.296
55,3.648
56,4.936
57,6.348
58,7.676
59,9.064
60,10.38
61,11.69
62,12.96
63,14.22
64,15.1
65,15.05
66,14.99
67,14.98
68,14.96
69,14.93
70,14.9
